GROUPAMA ENTREPRISES R;DEU FLOATING RATE NOTES-TFC;PICTET USD SHORT MID TERM;FON/03/CH;ROBECO GLO CR SHT MAT-IH EUR;/03/ch Green Transition Bond;Robeco Climate Bond;JUPITER DYNAMIC BOND;/03/CH INTL-FAMILY BUSINESS;AMU CPR BANCA /03/CH IMP-REUR;Harrris Associates Global Equity;POLEN FOCUS US GROWTH-EUR IN;ROBECO BP US PREMIUM EQ/F;ELEVA EUROPEAN SELECTION;ROBECO SUS EUR STARS EQ-FEUR;ABERDEEN ASIA PAC EQUITY;GQG PARTNERS EM MKT EQ-I EUR;Fidelity Global Financials;M&G LUX GLOBAL LIST INF-ECIA;/03/CH NEXT G/01/RATION;NEUBERGER BERMAN UNCORRELATED STRATEGIES;DNCA INVEST ALPHA BONDS;/03/ch Alternative Strategies
515,22;103,97;134,3;9,82;100,49;8,62;83,84;12,67;12,52;121,39;145,58;18,14;404,32;209,24;211,97;13,39;16,39;17,73;15,93;12,54;9,17;123,28;10,01
515,1;103,96;134,03;9,83;100,52;8,61;83,94;12,66;12,55;121,62;144,5;18,13;401,78;210,45;212,94;13,28;16,51;17,64;15,89;12,66;9,16;123,21;10,02
514,72;103,85;135,23;9,78;100,14;8,5;83,26;12,48;12,62;120,42;145,37;18,42;403,44;208,05;209,95;13,02;16,59;17,4;15,69;12,67;9,2;123,02;9,99
514,31;103,75;135,13;9,77;99,98;8,46;83,11;12,39;12,66;119,22;145,77;18,3;403,23;207,03;210,31;13,17;16,53;17,04;15,64;12,5;9,19;122,5;9,97
513,93;103,64;135,72;9,76;99,81;8,48;82,95;12,39;12,59;118,45;144,96;18,02;400,87;205,27;206,93;13,11;16,42;17,02;15,55;12,54;9,28;122,67;9,96
513,54;103,53;135,78;9,77;99,92;8,48;83,26;12,46;12,55;117,36;142,12;18,29;397,16;202,17;204,45;12,93;16,34;16,52;15,41;12,51;9,3;122,61;9,94
513,15;103,44;135,74;9,8;100,14;8,59;83,99;12,64;12,5;116,51;142,06;18,05;394,74;198,8;204,73;12,74;15,85;16,86;15,76;12,19;9,23;122,43;9,92
512,7;103,33;134,93;9,8;100,06;8,49;83,81;12,42;12,49;114,92;142,48;17,82;390,94;198,5;205,6;12,72;15,48;17,15;15,54;12,11;9,3;122,32;9,9
512,36;103,21;134,51;9,77;99,8;8,47;83,63;12,39;12,09;113,33;138,1;17,47;386,21;193,34;199,96;12,46;15,12;16,72;15,51;11,93;9,33;122,3;9,89
511,94;103,1;133,93;9,8;100,19;8,53;84,65;12,5;12,23;113,13;138,88;17,25;381,73;194,69;201,04;12,64;15,16;17,34;15,82;11,91;9,4;122,39;9,89
511,49;102,88;132,53;9,79;100,17;8,51;85,1;12,52;12,17;111,93;141,15;16,58;379,16;197,49;202,26;13;14,98;17,72;15,96;11,59;9,37;121,67;9,87
510,9;102,88;132,53;9,82;100,17;8,64;85,1;12,56;12,29;113,52;141,15;16,99;379,16;197,49;202,26;13,15;14,72;17,87;15,92;11,96;9,4;121,67;9,87
